suite	core	model	test	status	detail
group2	O2	nmos	IRQ held masked then CLI accepts	pass	
group2	O2	nmos	SEI masks held IRQ	pass	
group2	O2	nmos	RTI I variants with held IRQ	pass	
group2	O2	nmos	second NMI assertion after RTI	pass	
group2	O2	nmos	NMI priority over IRQ	pass	
group2	O2	nmos	NMI then held IRQ after RTI	pass	
group2	O2	nmos	NMI inside IRQ handler	pass	
group2	O2	nmos	held IRQ does not enter inside NMI	pass	
group2	O2	nmos	modified vectors are used	pass	
group2	O2	nmos	pushed status pattern variants	pass	
group2	O2	nmos	held NMI assertion generates single NMI	pass	
group2	O2	nmos	held IRQ retriggers after RTI when I clear	pass	
group2	O2	nmos	CLI pending IRQ observable delay	pass	
